Project,TotalCommits,Original Buildable commits,Original,Original (%),Replicated,Replicated (%),Real Buildable commits,Real Replicated,Real Replicated (%),Ant Fails,Ant Success,Real Buildable commits + Ant,Real Replicated + Ant,Real Replicated + Ant (%),Complete
isis,4817,2062,300,14.54898157,90,4.364694471387003,2062,90,4.364694471387003,0,0,2062,90,4.364694471387003,1.86838281087814
james-hupa,686,677,96,14.18020679,0,0.0,677,0,0.0,0,0,677,0,0.0,0.0
james-jdkim,124,123,9,7.3170731700000005,9,7.317073170731707,123,9,7.317073170731707,0,0,123,9,7.317073170731707,7.258064516129033
james-jsieve,527,473,140,29.59830867,0,0.0,473,0,0.0,51,81,525,81,15.428571428571427,15.370018975332068
james-jspf,621,446,166,37.21973094,166,37.219730941704036,446,166,43.22916666666667,0,62,446,228,51.12107623318386,36.71497584541063
james-mime4j,733,722,108,14.95844875,70,9.695290858725762,722,70,9.695290858725762,0,0,722,70,9.695290858725762,9.549795361527966
james-postage,74,63,0,0.0,0,0.0,63,0,0.0,8,0,71,0,0.0,0.0
jclouds,5074,1039,0,0.0,0,0.0,5072,94,1.8533123028391167,0,0,5072,94,1.8533123028391167,1.8525817895151755
jena,2680,2647,376,14.20476011,329,12.429165092557612,2647,329,12.429165092557612,0,0,2647,329,12.429165092557612,12.276119402985074
kalumet,172,170,63,37.05882353,5,2.941176470588235,170,5,2.941176470588235,0,0,170,5,2.941176470588235,2.9069767441860463
karaf-cave,103,103,82,79.61165049,31,30.097087378640776,103,31,30.097087378640776,0,0,103,31,30.097087378640776,30.097087378640776
karaf-cellar,460,460,25,5.43478261,1,0.21739130434782608,460,1,0.21739130434782608,0,0,460,1,0.21739130434782608,0.21739130434782608
log4j-component,68,68,46,67.64705882,46,67.64705882352942,68,46,76.66666666666667,0,8,68,54,79.41176470588235,79.41176470588235
log4j-extras,213,213,197,92.48826291,197,92.48826291079813,213,197,92.48826291079813,0,0,213,197,92.48826291079813,92.48826291079813
log4j-receivers,96,96,0,0.0,0,0.0,96,0,0.0,0,0,96,0,0.0,0.0
log4j-zeroconf,25,25,11,44.0,11,44.0,25,11,44.0,0,0,25,11,44.0,44.0
mahout,3156,3117,726,23.291626559999997,577,18.511389156239975,3117,577,18.511389156239975,4,31,3152,608,19.289340101522843,19.26489226869455
manifoldcf-integration-solr-4.x,3355,3,3,100.0,3,100.0,3,3,100.0,1582,1766,3351,1769,52.79021187705163,52.72727272727272
maven,9427,9196,1694,18.42105263,1704,18.52979556328839,9196,1704,18.52979556328839,0,0,9196,1704,18.52979556328839,18.07573989604328
maven-2,5636,5405,1150,21.276595739999998,1120,20.721554116558742,5405,1120,20.721554116558742,0,0,5405,1120,20.721554116558742,19.8722498225692
maven-app-engine,54,54,38,70.37037037,38,70.37037037037037,54,38,70.37037037037037,0,0,54,38,70.37037037037037,70.37037037037037
maven-doxia,1543,1541,184,11.94029851,155,10.058403634003893,1541,155,10.058403634003893,0,0,1541,155,10.058403634003893,10.045366169799093
maven-doxia-tools,306,303,119,39.273927390000004,119,39.273927392739274,303,119,39.273927392739274,0,0,303,119,39.273927392739274,38.88888888888889
maven-enforcer,411,408,177,43.38235294,122,29.901960784313726,408,122,29.901960784313726,0,0,408,122,29.901960784313726,29.683698296836987
maven-integration-testing,2042,2037,380,18.654884629999998,380,18.65488463426608,2037,380,18.65488463426608,0,0,2037,380,18.65488463426608,18.60920666013712
maven-jxr,232,227,209,92.07048458,225,99.11894273127754,227,225,99.11894273127754,0,0,227,225,99.11894273127754,96.98275862068965
maven-plugins,11812,11221,21,0.1871491,21,0.18714909544603867,11810,369,3.124470787468247,0,0,11810,369,3.124470787468247,3.1239417541483236
maven-plugin-testing,98,96,90,93.75,90,93.75,96,90,93.75,0,0,96,90,93.75,91.83673469387756
maven-resources,149,147,90,61.22448979999999,90,61.224489795918366,147,90,61.224489795918366,0,0,147,90,61.224489795918366,60.40268456375839
maven-scm,1789,1769,1293,73.09214245000001,1292,73.03561334087055,1769,1292,73.03561334087055,0,0,1769,1292,73.03561334087055,72.21911682504192
maven-surefire,1677,1588,716,45.08816121,712,44.83627204030227,1588,712,44.83627204030227,0,0,1588,712,44.83627204030227,42.45676803816339
myfaces-extval,509,509,51,10.019646369999998,66,12.966601178781925,509,66,12.966601178781925,0,0,509,66,12.966601178781925,12.966601178781925
myfaces-html5,77,76,25,32.89473684,25,32.89473684210527,76,25,32.89473684210527,0,0,76,25,32.89473684210527,32.467532467532465
myfaces-portlet-bridge,27,26,25,96.15384615,25,96.15384615384616,26,25,96.15384615384616,0,0,26,25,96.15384615384616,92.5925925925926
myfaces-scripting,843,842,184,21.852731589999998,55,6.532066508313539,842,55,6.532066508313539,0,0,842,55,6.532066508313539,6.524317912218268
