Project,TotalCommits,Original Buildable commits,Original,Original (%),Replicated,Replicated (%),Real Buildable commits,Real Replicated,Real Replicated (%),Ant Fails,Ant Success,Real Buildable commits + Ant,Real Replicated + Ant,Real Replicated + Ant (%),Complete
nuvem,138,135,1,0.74074074,1,0.7407407407407408,135,1,0.7407407407407408,0,0,135,1,0.7407407407407408,0.7246376811594203
odftoolkit,726,155,84,54.193548390000004,0,0.0,155,0,0.0,0,0,155,0,0.0,0.0
olingo-odata2,388,388,376,96.90721649,98,25.257731958762886,388,98,25.257731958762886,0,0,388,98,25.257731958762886,25.257731958762886
olingo-odata4,532,531,385,72.50470809999999,4,0.7532956685499058,531,4,0.7532956685499058,0,0,531,4,0.7532956685499058,0.7518796992481203
oltu,741,737,582,78.96879240000001,582,78.96879240162822,737,582,78.96879240162822,0,0,737,582,78.96879240162822,78.54251012145748
oozie,1423,1421,515,36.24208304,0,0.0,1421,0,0.0,0,0,1421,0,0.0,0.0
openwebbeans,3088,3056,1003,32.82068063,310,10.143979057591624,3056,310,10.143979057591624,0,0,3056,310,10.143979057591624,10.038860103626943
pluto,1488,944,43,4.55508475,43,4.555084745762712,944,43,4.555084745762712,425,0,1369,43,3.1409788166544925,2.889784946236559
qpid-jms,497,489,418,85.48057259999999,0,0.0,489,0,0.0,0,0,489,0,0.0,0.0
qpid-proton,1364,821,821,100.0,570,69.42752740560292,821,570,69.42752740560292,0,0,821,570,69.42752740560292,41.78885630498534
rampart,878,872,11,1.2614678899999998,0,0.0,872,0,0.0,0,0,872,0,0.0,0.0
roller,3130,895,0,0.0,0,0.0,895,0,0.0,2102,0,2997,0,0.0,0.0
sandesha,884,505,0,0.0,0,0.0,505,0,0.0,0,0,505,0,0.0,0.0
servicemix,194,192,41,21.35416667,0,0.0,192,0,0.0,0,0,192,0,0.0,0.0
servicemix3,2968,2968,0,0.0,0,0.0,2968,0,0.0,0,0,2968,0,0.0,0.0
servicemix4-bundles,7228,7227,3961,54.80835755,1707,23.619759236197595,7227,1707,23.619759236197595,0,0,7227,1707,23.619759236197595,23.616491422246817
servicemix4-features,1085,1084,1,0.09225092,0,0.0,1084,0,0.0,0,0,1084,0,0.0,0.0
servicemix4-kernel,526,525,0,0.0,0,0.0,525,0,0.0,0,0,525,0,0.0,0.0
servicemix4-specs,254,254,159,62.59842520000001,0,0.0,254,0,0.0,0,0,254,0,0.0,0.0
servicemix-components,225,225,55,24.44444444,0,0.0,225,0,0.0,0,0,225,0,0.0,0.0
sirona,718,718,659,91.78272981,661,92.06128133704735,718,661,92.06128133704735,0,0,718,661,92.06128133704735,92.06128133704735
struts-examples,68,67,65,97.01492537,65,97.01492537313433,67,65,97.01492537313433,0,0,67,65,97.01492537313433,95.58823529411765
struts-sandbox,1875,353,175,49.57507082,175,49.57507082152974,353,175,49.57507082152974,0,0,353,175,49.57507082152974,9.333333333333334
tajo,1212,1212,0,0.0,0,0.0,1212,0,0.0,0,0,1212,0,0.0,0.0
tiles,1066,1023,639,62.463343110000004,482,47.116324535679375,1023,482,47.116324535679375,34,0,1057,482,45.600756859035,45.21575984990619
tiles-autotag,110,107,57,53.271028040000004,18,16.822429906542055,107,18,16.822429906542055,0,0,107,18,16.822429906542055,16.363636363636363
tomee,8916,6955,0,0.0,0,0.0,8916,0,0.0,0,0,8916,0,0.0,0.0
tuscany-sca-1.x,515,514,0,0.0,0,0.0,514,0,0.0,0,0,514,0,0.0,0.0
tuscany-sca-2.x,4310,4309,0,0.0,0,0.0,4309,0,0.0,0,0,4309,0,0.0,0.0
uima-addons,102,98,25,25.510204079999998,0,0.0,98,0,0.0,0,0,98,0,0.0,0.0
uima-as,1409,389,0,0.0,0,0.0,389,0,0.0,0,0,389,0,0.0,0.0
uima-ruta,1105,860,0,0.0,0,0.0,860,0,0.0,0,0,860,0,0.0,0.0
uima-uimafit,236,235,171,72.76595745,4,1.702127659574468,235,4,1.702127659574468,0,0,235,4,1.702127659574468,1.694915254237288
uima-uimaj,3863,867,0,0.0,0,0.0,867,0,0.0,0,0,867,0,0.0,0.0
velocity-engine,3753,570,525,92.10526315999999,525,92.10526315789474,570,525,92.10526315789474,0,0,570,525,92.10526315789474,13.988808952837731
velocity-tools,1207,460,296,64.34782609,296,64.34782608695652,460,296,64.34782608695652,645,63,1168,359,30.73630136986301,29.743164871582433
vysper,678,671,555,82.71236959999999,1,0.14903129657228018,671,1,0.14903129657228018,4,0,675,1,0.14814814814814814,0.14749262536873156
webservices-commons-xmlschema,373,336,318,94.64285714,320,95.23809523809523,336,320,95.23809523809523,12,25,373,345,92.49329758713137,92.49329758713137
webservices-neethi,358,213,61,28.63849765,55,25.821596244131456,213,55,25.821596244131456,9,2,224,57,25.44642857142857,15.921787709497206
whirr,568,564,74,13.12056738,0,0.0,564,0,0.0,0,0,564,0,0.0,0.0
wicket,14818,7508,1407,18.74001066,656,8.737346830047949,7508,656,8.737346830047949,0,0,7508,656,8.737346830047949,4.427048184640302
wink,892,891,0,0.0,0,0.0,891,0,0.0,0,0,891,0,0.0,0.0
wookie,1921,151,0,0.0,0,0.0,151,0,0.0,1396,0,1547,0,0.0,0.0
wss4j,1943,1364,460,33.72434018,317,23.24046920821114,1364,317,29.35185185185185,306,548,1934,865,44.725956566701136,44.51878538342769
