INDEX,COMMIT_ID,POM_FILE,BUILD_SUCCESSFUL,EXCEPTION,COMPONENT,ACTION
0,efb14cdc81bd88a33429c1198831ba03c4644ba4,false,false,,,
1,0fbe776ab9d7ad4307e3ea14e0c0f1c673dd18e7,false,false,,,
2,4102420600019fe36caefada10eb9d31524df229,false,false,,,
3,aa26492453088925faa02d8dc37e08603e00e8eb,false,false,,,
4,579f5a16fa4acd735c1e2826b3e0811b3b58ebb5,true,true,,,
5,581a3a7fc202006b5a8eb61c4f257d7169ad6b1c,true,true,,,
6,28f9e4687cb3291e730be0575ce88520257d7fd1,true,true,,,
7,faf5a0614f23d703acc2198651f32cbc20923fe3,true,true,,,
8,2729c1bf96654d268fc5875c01652232242223ee,true,true,,,
9,6358a15b516f87a861fd05e84f26094cf1982f98,true,true,,,
10,b1c515354840f12279e38591bfc5c63cf97dbe50,true,true,,,
11,0fb45ee66d3a7a2eac41f1090a1334d5115082a0,true,true,,,
12,d420057914da0150713492d37cc877ec472d54a7,true,true,,,
13,31e25dd4024e02655d52ee49031146d6381f9dab,true,true,,,
14,77922cb91ede617505b79a9a0744e692b883564c,true,true,,,
15,e9104e7697439eadf7b4103b0cf2ed0bc57655c8,true,true,,,
16,15cb95908577e8a9bf4ac03bec73b504f86cb5d1,true,true,,,
17,b7a2777ea8f458859ce0c9c6bfbeaa9ad684d6a7,true,true,,,
18,bab628f22fe1313b43de46a91327d39fbfa2d460,true,true,,,
19,e0e74df20e9ca7fbb35ad9339a2c0fafc23d7319,true,true,,,
20,45f3e76588eb141b975fd3e943795ad3df41f894,true,true,,,
21,3878091e9733bad416b187cdd1d4d674682d2e51,true,true,,,
22,c46af4598d466def7d92f3b9e062d3da8068f4f6,true,true,,,
23,3371c20cdf029952dec5cf5727f37622f74cb7da,true,true,,,
24,7fda4653767b45673317735a97f53e24d51c929a,true,true,,,
25,19876b5ca2d7f339b36fd7ab5751397a1191067e,true,true,,,
26,0c2ca11ede75dbb84c40dd65d3d4de8996ec463a,true,true,,,
27,a2b3166ecabbf61c5bc09416686d83380cdc0b02,true,true,,,
28,216d030a48e3118156a97d2e6fe47bd078a119c9,true,true,,,
29,ae8bebb901af07171fe01367edf26c8fbb933801,true,true,,,
30,0692956fef65e3ce495cc297ae3f3a75a5dd4326,true,true,,,
31,98055c0409848d70b91536932290e2cdaca46581,true,true,,,
32,a41b051642550022d589c6fcf6b3d772c55c1996,true,true,,,
33,522ed1825d1bb00e83c4c0af77e2c2c8d21e704f,true,true,,,
34,813d593bb6199f3dea101a054efe83511885e65c,true,true,,,
35,9752ad9ec5f6dbb4944b1690193f20cb21eb15ca,true,true,,,
36,3fbe347493f1fc43c77c936b1390ba136bf7f250,true,true,,,
37,9ad37b2a503c4ea5c60798d3fea7e57eb934639a,true,true,,,
38,5ea1d64845336227fb679bc9e0dc01423b6d576a,true,true,,,
39,58ad6c01fb6e51225bfe4a95047df3dc2ca648d6,true,true,,,
40,09bdc4c3b9fc6716fcb0545af1f8db183629462d,true,true,,,
41,71be5ff127ad1408324a2f1c051e20f473d163c6,true,true,,,
42,d9f74b54d5afde65e3915459274b876622a908a8,true,true,,,
43,a309ba5fbe0fc9290f8514ce7c3cb8300b70a63d,true,true,,,
44,2513877d8dd79f3715ef3b557cdcc28db9b5fd42,true,true,,,
45,54881689baf14aa43a7661c644cd9c306af4be0d,true,true,,,
46,c4af0fc4a4c5a42f00527971aef3f66c09be57a5,true,true,,,
47,f31b4ee64ad75a09d99b31886e752a55e0f23441,true,true,,,
48,ab2591e66120da9463f4df73dc88d03f73a5d4d8,true,true,,,
49,bcba47a7357ed2bd8e18ab713988f737775da6dd,true,true,,,
50,20935aa3fd0116a6969745023d442ada30940586,true,true,,,
51,55c221eda1e44c8414b1b9ff3f3bdd45dffda95f,true,true,,,
52,174d76af3413e4d8b7f9ef43d095f7ad78d4f5a6,true,true,,,
53,ded219dacf46c896d873c0da0802510603be8ce0,true,true,,,
54,346138db7e5f1df11c837f1e640b457547f8b4c9,true,true,,,
55,1b8bd788198566f683fe264edc6838e9e2e8ef89,true,true,,,
56,27e7222daa69ba5a5d07d5040fc4d6e93cbb6bcd,true,true,,,
57,67a40729a2ea044d8853dda2be58f91c51854f89,true,true,,,
58,b60e658aca3b571d66e00dc4534ef718a26909b0,true,true,,,
59,9c872077dc0a15dfb75fe287197a78510eb752bd,true,true,,,
60,2bda5483b5f2899cbb35827b737c49498a53b141,true,true,,,
61,a721f2475e9a40fe6f0df78a2f1cdb134bc65ff2,true,true,,,
62,977121e9faa56571fe0e0299675ad2c668f383a1,true,true,,,
63,105264ec975d3ea4fe935cde52cedbd0c315e060,true,true,,,
64,a1d9b4da694945e1b4a4e9b46668c15c59fc1db4,true,true,,,
65,4ed0fe4fe0ff0abbbe82aab937004d3b702a450b,true,true,,,
66,506ae81fac7244fc45552ace98b679b04d8ca743,true,true,,,
67,e3caf86cae34fe15b9593376c12da863a7c2b6f5,true,true,,,
68,6243a9f43ee22e4a006c64ec51a4c4ea98d4b3a0,true,true,,,
69,5768e3a85ddf7378ab1afbe06a75d643888d9b4d,true,true,,,
70,dede792e4731f3851a7653fcfe1bbcb3d47b866f,true,true,,,
71,ee73718481af6a7ee6c8c2eb0b52135873f0855a,true,true,,,
72,7be14d5780ed2dc22da3b193ef24c62df418f0f1,true,true,,,
73,aa85afee83ab618711fd4b293e9f0e95c49583a7,true,true,,,
74,f7f416903a7fee8173b1142bb411d15b06af8625,true,true,,,
75,e3df9d4c624e2c25393f622a45148267463385fd,true,true,,,
76,a2aaaf3360e7936d3864271622dce7d1a9d3a130,true,true,,,
77,7fb917417d1e19b65933f4d2ab331e43df78691e,true,true,,,
78,f7f6890963d700c03edd3c9b55480a0b567b3a19,true,true,,,
79,3adfb3f3892bdff89038236617eaade52af77c56,true,true,,,
80,a0332e7aaacbb6b4e8ca5b713357f3e426d2dc77,true,true,,,
