STATUS,START,END,SIZE,COMMIT_START,COMMIT_END,NUM_DIFF_EXCEPTION,EXCEPTION_:_SIZE
NO_POM,0,0,1,b8f340681e46ad7d4c0221774bb8bd41fe756438,b8f340681e46ad7d4c0221774bb8bd41fe756438,0, 
BUILD_SUCCESSFUL,1,4,4,57025e107c757c16af57787b24dc6af3bf23468d,d7a119563692ac0d7592d52948474269e5b1e275,0, 
BUILD_FAILURE,5,5,1,ba6b5aa2e51b1ca0432d30b4c20a66bff6c000a5,ba6b5aa2e51b1ca0432d30b4c20a66bff6c000a5,1,CompilationFailureException1:1;
BUILD_SUCCESSFUL,6,12,7,5a795c99d17e0dbfc48ad4c9645aa956700d98b3,2c35c2d2211c8c47e82805e4d8b936ba60845306,0, 
BUILD_FAILURE,13,13,1,69a12d0ea6187ee9a69ab210fe1e520177b06a59,69a12d0ea6187ee9a69ab210fe1e520177b06a59,1,ProjectBuildingException1:1;
BUILD_SUCCESSFUL,14,67,54,69788e45f2890b939ed8935506b8863b8c5b8739,c4e10093b62de61b5a35cd0810bb1373a9dc19b0,0, 
